date,ci,weather_dummy,wind,aqi,life_impact,is_holiday_near,is_holiday_mid,is_nonwork_weekend,is_holiday_day_or_window,is_bad_weather,is_aqi_high,test_fold_1,test_fold_2,test_fold_3,test_fold_4,test_fold_5,test_fold_6,test_fold_7,test_fold_8,test_fold_9,test_fold_10,ci_lag1,ci_lag2,ci_lag3,ci_lag7,ci_lag8,ci_lag14,ci_lag21,ci_lag28,ci_roll3_prev_mean,ci_roll7_prev_mean,ci_roll14_prev_mean,ci_roll7_prev_std,ci_diff1_lag1,ci_diff7_lag1,dow,month,dow_sin,dow_cos,doy_sin,doy_cos
2021-08-28,27.3325381242883,1,2,24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,24.665183227741394,24.02036875563712,18.350227062317835,16.29441624282769,16.449054040314923,15.440190850081336,10.852567223199038,10.65989847661625,22.345259681898767,20.72932005014193,19.315591924609436,2.8557784770079726,0.6448144721042759,8.216129187426471,5.0,8.0,-0.9749279121818236,-0.2225209339563146,-0.8344168502968383,-0.5511338493875183
2021-08-29,19.71837841589505,2,2,19,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,27.3325381242883,24.665183227741394,24.02036875563712,19.644670049764223,16.29441624282769,9.746192892906285,15.680465143783213,26.499761971934728,25.339363369222255,22.306194604636307,20.165045301338502,3.0146470676755013,2.667354896546904,11.038121881460608,6.0,8.0,-0.7818314824680299,0.6234898018587334,-0.8437739516707836,-0.536698722265919
2021-08-30,22.55465277354856,2,3,26,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19.71837841589505,27.3325381242883,24.665183227741394,19.644670049764223,19.644670049764223,15.221258819130284,11.687803886730135,26.090461238746663,23.905366589308233,22.316724371226424,20.877344267266274,3.005447010658782,-7.614159708393249,0.07370836613082687,0.0,8.0,0.0,1.0,-0.8528813565032917,-0.5221047708354187
2021-08-31,25.62884789210601,2,2,27,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,22.55465277354856,19.71837841589505,27.3325381242883,22.48570496294103,19.644670049764223,22.678427197976,14.942846597953263,20.54874754626089,23.20185643791062,22.732436188909897,21.40115812115329,2.8014282978866047,2.8362743576535117,2.9099827237843385,1.0,8.0,0.7818314824680298,0.6234898018587336,-0.8617363696560699,-0.507356313858394
2021-09-01,28.329526672152603,1,3,28,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,25.62884789210601,22.55465277354856,19.71837841589505,18.350227062317835,22.48570496294103,22.03120570388399,11.354672030112797,26.67344198782702,22.63395969384986,23.18145660736204,21.61190245644829,2.972564853567007,3.074195118557448,3.1431429291649806,2.0,9.0,0.9749279121818236,-0.22252093395631434,-0.8703363706806498,-0.4924577158197792
2021-09-02,33.42626221515266,1,2,31,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,28.329526672152603,25.62884789210601,22.55465277354856,24.02036875563712,18.350227062317835,23.746717089245763,8.223350253389679,26.44734238010257,25.50434244593571,24.60707083733843,22.061782525610337,2.693595780649697,2.7006787800465943,9.979299609834769,3.0,9.0,0.43388373911755823,-0.900968867902419,-0.878678814593855,-0.4774133856354865
2021-09-03,34.13772445425633,1,2,32,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,33.42626221515266,28.329526672152603,25.62884789210601,24.665183227741394,24.02036875563712,16.449054040314923,8.527918781293,18.01944873849844,29.128212259803746,25.950769902983513,22.75317860603226,4.063486092708834,5.096735543000058,9.405893459515543,4.0,9.0,-0.433883739117558,-0.9009688679024191,-0.8867612326309313,-0.46222777534768655
2021-09-04,42.170706006931816,1,2,20,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,34.13772445425633,33.42626221515266,28.329526672152603,27.3325381242883,24.665183227741394,16.29441624282769,15.440190850081336,10.852567223199038,31.96450444718718,27.303990078199927,24.01665506417093,4.900998329877317,0.7114622391036676,9.472541226514934,5.0,9.0,-0.9749279121818236,-0.2225209339563146,-0.8945812329761252,-0.44690537880732156
2021-09-05,29.7714398803128,1,2,21,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,42.170706006931816,34.13772445425633,33.42626221515266,19.71837841589505,27.3325381242883,19.644670049764223,9.746192892906285,15.680465143783213,36.57823089211359,29.423728347149,25.864961475892652,7.14846524606069,8.032981552675487,14.838167882643518,6.0,9.0,-0.7818314824680299,0.6234898018587334,-0.9021365014704882,-0.4314507303442513
2021-09-06,27.113606093337246,1,2,28,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,29.7714398803128,42.170706006931816,34.13772445425633,22.55465277354856,19.71837841589505,19.644670049764223,15.221258819130284,11.687803886730135,35.3599567805003,30.85987998492297,26.58830217807469,5.966492783565788,-12.399266126619015,10.053061464417752,0.0,9.0,0.0,1.0,-0.9094248022967037,-0.4158684034254122
