date,ci,weather_dummy,wind,aqi,life_impact,is_holiday_near,is_holiday_mid,is_nonwork_weekend,is_holiday_day_or_window,is_bad_weather,is_aqi_high,test_fold_1,test_fold_2,test_fold_3,test_fold_4,test_fold_5,test_fold_6,test_fold_7,test_fold_8,test_fold_9,test_fold_10
2017-09-15,48.65666771878811,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-16,48.62575085727615,1,1,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-17,59.17845661743013,1,1,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-18,67.12328767126318,1,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-19,54.90502960640207,2,1,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-20,61.73867228670454,2,1,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-21,62.642856760843166,2,1,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-22,56.25654576282434,2,1,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-23,73.19090894459104,2,1,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-24,63.94211379300264,2,4,28,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-25,64.36799623415587,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-26,63.93494621622924,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-27,65.45318876852956,1,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-28,66.58336587201305,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29,59.30945210782076,2,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-09-30,57.42962134856866,2,1,36,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,48.65196065319224,2,1,29,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-02,49.34908773874909,2,1,25,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-03,51.6595080047503,1,1,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-04,52.24960284141426,1,1,34,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-05,49.689387172139845,2,1,37,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-06,50.5078816601364,1,1,44,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-07,51.05277797093139,1,1,46,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-08,56.87761095019006,1,1,49,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-09,47.48134557862546,1,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-10,62.49549351924656,1,4,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-11,58.94058934571599,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-12,70.25953046960372,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-13,52.402154551314894,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-14,37.79725385469206,2,5,45,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-15,29.32410819802917,2,6,24,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-16,47.95959412242106,2,4,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-17,40.92841516310817,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-18,36.76202040097301,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-19,25.42655105830991,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-20,24.034596930804348,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-21,29.357378592339067,1,1,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-22,36.70965429833064,1,1,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-23,48.14509529149282,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-24,52.16155932247425,1,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-25,53.49167972695589,1,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-26,48.030895465826525,1,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-27,52.437564521663546,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-28,48.12605307235013,1,1,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-29,29.983043866921065,1,1,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-30,36.883334314222914,1,5,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-31,46.1297224438236,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-01,47.52643712611484,1,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-02,52.79209213022151,1,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-03,44.77344573261566,1,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-04,34.73947997653039,2,5,69,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-11-05,41.309099078392414,2,4,103,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2017-11-06,53.156194337540605,2,1,77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-11-07,37.96836638102722,2,1,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-11-08,38.24913213500219,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-09,50.51499574772001,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-10,48.6423860544311,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-11,52.65408953062687,1,1,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-12,51.62142356646493,2,4,68,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-11-13,65.73138703294741,2,1,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-11-14,55.894850577492974,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-15,54.48385423084473,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-16,58.66923772293278,1,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-17,52.20199729355757,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-18,42.67960396476757,2,4,51,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-11-19,33.8853080722362,2,4,31,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-11-20,25.033939011466583,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-21,40.364530122360286,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-22,24.37724989699303,1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-23,15.754173509176416,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-24,19.39466069046947,1,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-25,33.41176659403647,2,1,57,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-11-26,29.221622547162763,1,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-27,46.78881858028488,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-28,57.60800843005681,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-29,60.706006322542606,1,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-30,53.44166715711146,1,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-01,17.38645541957365,1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-02,38.065931009538566,1,1,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
